ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state,zip_code,neighborhood_district,created_year_month,ticket_created_date_time,ticket__last_update_date_time,ticket_closed_date_time,ticket_status,location_city,sr_xcoordinate,sr_ycoordinate,latitude,longitude,method_received,sr_priority,goal_days,actual_completed_days,ticket_year,ObjectId,is_transport
16-10000082,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,21978 SW 93RD PATH,Town_of_Cutler_Bay,Florida,33190.0,District 8,20161,2016/01/01 13:21:25.117+00,2016/01/02 18:45:50.893+00,2016/01/02 18:44:41.147+00,CLOSED,Town_of_Cutler_Bay,872770.443,447673.778,25.56375,-80.342945,WEB,STANDARD,3.0,1.0,2016,1,True
16-10000654,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,18560 SW 206TH ST,Miami_Dade_County,Florida,33187.0,District 8,20161,2016/01/03 22:42:53.883+00,2016/01/04 14:17:03+00,2016/01/04 14:11:42.680+00,CLOSED,Miami_Dade_County,823413.067,451189.75,25.574019,-80.492621,IPHONE,STANDARD,3.0,1.0,2016,417,True
16-10001218,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,6821 SW 147TH AVE,Miami_Dade_County,Florida,33193.0,District 10,20161,2016/01/04 05:00:00+00,2016/01/05 05:00:00+00,2016/01/04 16:11:03.493+00,CLOSED,Miami_Dade_County,843833.484,497863.545,25.702208,-80.430065,PHONE,STANDARD,3.0,0.0,2016,459,True
16-10000852,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,1000 NW 132ND AVE,Miami_Dade_County,Florida,33182.0,District 12,20161,2016/01/04 14:01:37+00,2016/01/05 05:00:00+00,2016/01/04 14:11:45.607+00,CLOSED,Miami_Dade_County,851027.582,526068.249,25.779721,-80.407833,PHONE,STANDARD,3.0,0.0,2016,566,True
16-10000608,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,2201 NE 2ND CT,City_of_Miami,Florida,33137.0,District 3,20161,2016/01/02 22:57:19.101+00,2016/01/04 14:04:54.126+00,2016/01/04 14:04:54.126+00,CLOSED,City_of_Miami,922694.811,533137.954,25.798122,-80.189924,IPHONE,STANDARD,3.0,2.0,2016,749,True
16-10042210,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,37191 SW 214TH AVE,Miami_Dade_County,Florida,33034.0,District 9,20161,2016/01/04 14:56:00+00,2016/01/04 05:00:00+00,2016/01/04 05:00:00+00,CLOSED,Miami_Dade_County,809087.69,395930.47,25.42212,-80.536663,XTERFACE,STANDARD,3.0,0.0,2016,865,True
16-10003984,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,12821 SW 47TH ST,Miami_Dade_County,Florida,33175.0,District 10,20161,2016/01/04 14:56:00+00,2016/01/04 05:00:00+00,2016/01/04 05:00:00+00,CLOSED,Miami_Dade_County,853020.923,505297.194,25.722549,-80.402062,XTERFACE,STANDARD,3.0,0.0,2016,866,True
16-10003985,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,12821 SW 47TH ST,Miami_Dade_County,Florida,33175.0,District 10,20161,2016/01/04 14:56:00+00,2016/01/04 05:00:00+00,2016/01/04 05:00:00+00,CLOSED,Miami_Dade_County,853020.923,505297.194,25.722549,-80.402062,XTERFACE,STANDARD,3.0,0.0,2016,872,True
16-10001050,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,3500 NW 37TH AVE,City_of_Miami,Florida,33142.0,District 2,20161,2016/01/04 15:08:32+00,2016/03/09 13:18:01.308+00,2016/01/04 15:18:42.140+00,CLOSED,City_of_Miami,900446.059,536503.748,25.807743,-80.257484,PHONE,STANDARD,3.0,0.0,2016,902,True
16-10001260,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,12700 SW 38TH TER,Miami_Dade_County,Florida,33175.0,District 11,20161,2016/01/04 16:12:58+00,2016/01/05 05:00:00+00,2016/01/05 05:00:00+00,CLOSED,Miami_Dade_County,853690.813,508838.966,25.732285,-80.399978,PHONE,STANDARD,3.0,1.0,2016,938,True
16-10001418,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,11453 SW 126TH TER,Miami_Dade_County,Florida,33176.0,District 8,20161,2016/01/04 17:06:18+00,2016/01/05 05:00:00+00,2016/01/05 05:00:00+00,CLOSED,Miami_Dade_County,860348.999,479138.841,25.650486,-80.380176,EMAIL,STANDARD,3.0,1.0,2016,1110,True
16-10001425,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,SW 115TH AVE & SW 126TH TER,Miami_Dade_County,Florida,33176.0,District 8,20161,2016/01/04 17:08:46+00,2016/01/05 05:00:00+00,2016/01/05 05:00:00+00,CLOSED,Miami_Dade_County,860024.188,479273.091,25.650859,-80.38116,EMAIL,STANDARD,3.0,1.0,2016,1113,True
